order_id,order_date,order_time,item_name,category,price
1,2023-01-01,11:38:36 AM,Korean Beef Bowl,Asian,17.95
2,2023-01-01,11:57:40 AM,Tofu Pad Thai,Asian,14.5
2,2023-01-01,11:57:40 AM,Spaghetti,Italian,14.5
2,2023-01-01,11:57:40 AM,Chicken Burrito,Mexican,12.95
2,2023-01-01,11:57:40 AM,Mushroom Ravioli,Italian,15.5
2,2023-01-01,11:57:40 AM,French Fries,American,7.0
3,2023-01-01,12:12:28 PM,Chicken Burrito,Mexican,12.95
3,2023-01-01,12:12:28 PM,Chicken Torta,Mexican,11.95
4,2023-01-01,12:16:31 PM,Chicken Burrito,Mexican,12.95
5,2023-01-01,12:21:30 PM,Chicken Burrito,Mexican,12.95
6,2023-01-01,12:29:36 PM,Hamburger,American,12.95
6,2023-01-01,12:29:36 PM,Potstickers,Asian,9.0
7,2023-01-01,12:50:37 PM,Chips & Guacamole,Mexican,9.0
8,2023-01-01,12:51:37 PM,Chips & Guacamole,Mexican,9.0
9,2023-01-01,12:52:01 PM,Tofu Pad Thai,Asian,14.5
9,2023-01-01,12:52:01 PM,Fettuccine Alfredo,Italian,14.5
9,2023-01-01,12:52:01 PM,Pork Ramen,Asian,17.95
9,2023-01-01,12:52:01 PM,Chicken Burrito,Mexican,12.95
9,2023-01-01,12:52:01 PM,Chicken Burrito,Mexican,12.95
9,2023-01-01,12:52:01 PM,Mushroom Ravioli,Italian,15.5
9,2023-01-01,12:52:01 PM,Chips & Salsa,Mexican,7.0
9,2023-01-01,12:52:01 PM,Shrimp Scampi,Italian,19.95
9,2023-01-01,12:52:01 PM,Eggplant Parmesan,Italian,16.95
10,2023-01-01,1:00:15 PM,Mushroom Ravioli,Italian,15.5
10,2023-01-01,1:00:15 PM,Mac & Cheese,American,7.0
11,2023-01-01,1:02:59 PM,Hamburger,American,12.95
11,2023-01-01,1:02:59 PM,Cheeseburger,American,13.95
11,2023-01-01,1:02:59 PM,Cheeseburger,American,13.95
11,2023-01-01,1:02:59 PM,Edamame,Asian,5.0
12,2023-01-01,1:04:41 PM,Cheeseburger,American,13.95
12,2023-01-01,1:04:41 PM,Cheeseburger,American,13.95
12,2023-01-01,1:04:41 PM,Veggie Burger,American,10.5
12,2023-01-01,1:04:41 PM,Chicken Burrito,Mexican,12.95
13,2023-01-01,1:11:55 PM,Mushroom Ravioli,Italian,15.5
14,2023-01-01,1:14:19 PM,Potstickers,Asian,9.0
15,2023-01-01,1:33:00 PM,Orange Chicken,Asian,16.5
15,2023-01-01,1:33:00 PM,Spaghetti,Italian,14.5
15,2023-01-01,1:33:00 PM,Cheese Quesadillas,Mexican,10.5
15,2023-01-01,1:33:00 PM,Potstickers,Asian,9.0
16,2023-01-01,1:34:07 PM,Spaghetti & Meatballs,Italian,17.95
16,2023-01-01,1:34:07 PM,California Roll,Asian,11.95
16,2023-01-01,1:34:07 PM,French Fries,American,7.0
17,2023-01-01,1:53:00 PM,Hamburger,American,12.95
17,2023-01-01,1:53:00 PM,Steak Tacos,Mexican,13.95
17,2023-01-01,1:53:00 PM,Spaghetti,Italian,14.5
17,2023-01-01,1:53:00 PM,Spaghetti & Meatballs,Italian,17.95
17,2023-01-01,1:53:00 PM,Chicken Burrito,Mexican,12.95
17,2023-01-01,1:53:00 PM,Meat Lasagna,Italian,17.95
17,2023-01-01,1:53:00 PM,Cheese Lasagna,Italian,15.5
17,2023-01-01,1:53:00 PM,Mushroom Ravioli,Italian,15.5
17,2023-01-01,1:53:00 PM,Steak Burrito,Mexican,14.95
17,2023-01-01,1:53:00 PM,Chicken Parmesan,Italian,17.95
18,2023-01-01,1:57:08 PM,California Roll,Asian,11.95
19,2023-01-01,1:59:09 PM,Pork Ramen,Asian,17.95
19,2023-01-01,1:59:09 PM,Steak Torta,Mexican,13.95
20,2023-01-01,2:03:08 PM,Orange Chicken,Asian,16.5
20,2023-01-01,2:03:08 PM,Spaghetti,Italian,14.5
21,2023-01-01,2:14:29 PM,Pork Ramen,Asian,17.95
22,2023-01-01,2:16:26 PM,Spaghetti,Italian,14.5
22,2023-01-01,2:16:26 PM,Pork Ramen,Asian,17.95
22,2023-01-01,2:16:26 PM,Mac & Cheese,American,7.0
23,2023-01-01,2:19:03 PM,Mac & Cheese,American,7.0
24,2023-01-01,2:23:01 PM,Hamburger,American,12.95
24,2023-01-01,2:23:01 PM,Pork Ramen,Asian,17.95
24,2023-01-01,2:23:01 PM,Edamame,Asian,5.0
24,2023-01-01,2:23:01 PM,Chicken Torta,Mexican,11.95
25,2023-01-01,2:44:44 PM,Steak Torta,Mexican,13.95
25,2023-01-01,2:44:44 PM,French Fries,American,7.0
26,2023-01-01,2:54:26 PM,Tofu Pad Thai,Asian,14.5
26,2023-01-01,2:54:26 PM,Eggplant Parmesan,Italian,16.95
27,2023-01-01,3:11:17 PM,Hamburger,American,12.95
27,2023-01-01,3:11:17 PM,Tofu Pad Thai,Asian,14.5
27,2023-01-01,3:11:17 PM,Chicken Parmesan,Italian,17.95
28,2023-01-01,3:35:46 PM,Hot Dog,American,9.0
29,2023-01-01,3:41:01 PM,Fettuccine Alfredo,Italian,14.5
30,2023-01-01,3:41:25 PM,French Fries,American,7.0
31,2023-01-01,3:50:18 PM,Mushroom Ravioli,Italian,15.5
31,2023-01-01,3:50:18 PM,Edamame,Asian,5.0
32,2023-01-01,3:53:18 PM,Orange Chicken,Asian,16.5
32,2023-01-01,3:53:18 PM,Fettuccine Alfredo,Italian,14.5
32,2023-01-01,3:53:18 PM,Pork Ramen,Asian,17.95
32,2023-01-01,3:53:18 PM,Chicken Burrito,Mexican,12.95
33,2023-01-01,3:54:08 PM,Hamburger,American,12.95
33,2023-01-01,3:54:08 PM,Fettuccine Alfredo,Italian,14.5
34,2023-01-01,4:21:21 PM,Potstickers,Asian,9.0
35,2023-01-01,4:32:04 PM,Fettuccine Alfredo,Italian,14.5
35,2023-01-01,4:32:04 PM,Salmon Roll,Asian,14.95
35,2023-01-01,4:32:04 PM,Edamame,Asian,5.0
35,2023-01-01,4:32:04 PM,French Fries,American,7.0
36,2023-01-01,4:54:09 PM,Hamburger,American,12.95
36,2023-01-01,4:54:09 PM,Tofu Pad Thai,Asian,14.5
37,2023-01-01,4:56:09 PM,Chicken Burrito,Mexican,12.95
37,2023-01-01,4:56:09 PM,Mushroom Ravioli,Italian,15.5
38,2023-01-01,5:03:00 PM,Korean Beef Bowl,Asian,17.95
38,2023-01-01,5:03:00 PM,Pork Ramen,Asian,17.95
39,2023-01-01,5:07:23 PM,Chicken Burrito,Mexican,12.95
40,2023-01-01,5:14:36 PM,Spaghetti & Meatballs,Italian,17.95
40,2023-01-01,5:14:36 PM,Mac & Cheese,American,7.0
41,2023-01-01,5:15:20 PM,Spaghetti & Meatballs,Italian,17.95
41,2023-01-01,5:15:20 PM,Fettuccine Alfredo,Italian,14.5
42,2023-01-01,5:28:09 PM,Orange Chicken,Asian,16.5
42,2023-01-01,5:28:09 PM,Spaghetti,Italian,14.5
